GESTION;2017;;;;;;;
TYPE BUDGET;Comptes d'affectation spéciale;;;;;;;
;;;;; Données;;;
Financement des aides aux collectivités pour l'électrification rurale;793;3;64;Transferts aux autres collectivités;184 000 000;172 000 000;184 000 000;172 000 000
Financement des aides aux collectivités pour l'électrification rurale;793;4;64;Transferts aux autres collectivités;46 700 000;42 700 000;46 700 000;42 700 000
Financement des aides aux collectivités pour l'électrification rurale;793;5;64;Transferts aux autres collectivités;55 500 000;44 500 000;55 500 000;44 500 000
Financement des aides aux collectivités pour l'électrification rurale;793;6;64;Transferts aux autres collectivités;39 000 000;51 000 000;39 000 000;51 000 000
Financement des aides aux collectivités pour l'électrification rurale;793;7;64;Transferts aux autres collectivités;42 000 000;55 000 000;42 000 000;55 000 000
Financement des aides aux collectivités pour l'électrification rurale;793;8;31;Dépenses de fonctionnement autres que celles de personnel;1 400 000;1 400 000;1 400 000;1 400 000
Financement des aides aux collectivités pour l'électrification rurale;793;9;64;Transferts aux autres collectivités;500 000;500 000;500 000;500 000
Financement des aides aux collectivités pour l'électrification rurale;793;10;64;Transferts aux autres collectivités;500 000;2 500 000;500 000;2 500 000
Financement des aides aux collectivités pour l'électrification rurale;794;2;64;Transferts aux autres collectivités;2 000 000;2 000 000;2 000 000;2 000 000
Financement des aides aux collectivités pour l'électrification rurale;794;3;64;Transferts aux autres collectivités;4 000 000;4 000 000;4 000 000;4 000 000
Financement des aides aux collectivités pour l'électrification rurale;794;4;64;Transferts aux autres collectivités;1 400 000;1 400 000;1 400 000;1 400 000
Financement national du développement et de la modernisation de l'apprentissage;787;3;63;Transferts aux collectivités territoriales;1 395 775 620;1 393 550 853;1 395 775 620;1 393 550 853
Financement national du développement et de la modernisation de l'apprentissage;790;1;63;Transferts aux collectivités territoriales;95 077 114;179 689 222;95 077 114;179 689 222
Gestion du patrimoine immobilier de l'État;721;1;31;Dépenses de fonctionnement autres que celles de personnel;155 000 000;60 000 000;155 000 000;60 000 000
Gestion du patrimoine immobilier de l'État;723;1;31;Dépenses de fonctionnement autres que celles de personnel;74 801 936;0;61 798 879;0
Gestion du patrimoine immobilier de l'État;723;1;51;Dépenses pour immobilisations corporelles de l’État;330 322 446;0;333 340 295;0
Gestion du patrimoine immobilier de l'État;723;1;63;Transferts aux collectivités territoriales;15 363 284;0;13 312 488;0
Gestion du patrimoine immobilier de l'État;723;1;72;Dotations en fonds propres;13 333 785;0;11 548 338;0
Gestion du patrimoine immobilier de l'État;723;11;31;Dépenses de fonctionnement autres que celles de personnel;0;57 016 000;0;47 070 000
Gestion du patrimoine immobilier de l'État;723;11;51;Dépenses pour immobilisations corporelles de l’État;0;234 827 000;0;240 005 000
Gestion du patrimoine immobilier de l'État;723;11;63;Transferts aux collectivités territoriales;0;8 678 000;0;7 888 000
Gestion du patrimoine immobilier de l'État;723;11;64;Transferts aux autres collectivités;0;0;0;0
Gestion du patrimoine immobilier de l'État;723;11;72;Dotations en fonds propres;0;11 223 000;0;10 231 000
Gestion du patrimoine immobilier de l'État;723;11;73;Dépenses de participations financières;0;0;0;0
Gestion du patrimoine immobilier de l'État;723;12;31;Dépenses de fonctionnement autres que celles de personnel;0;13 183 000;0;6 140 000
Gestion du patrimoine immobilier de l'État;723;12;51;Dépenses pour immobilisations corporelles de l’État;0;431 000;0;266 000
Gestion du patrimoine immobilier de l'État;723;13;31;Dépenses de fonctionnement autres que celles de personnel;0;17 556 000;0;19 208 000
Gestion du patrimoine immobilier de l'État;723;13;51;Dépenses pour immobilisations corporelles de l’État;0;408 000;0;958 000
Gestion du patrimoine immobilier de l'État;723;14;31;Dépenses de fonctionnement autres que celles de personnel;0;10 955 000;0;18 932 000
Gestion du patrimoine immobilier de l'État;723;14;51;Dépenses pour immobilisations corporelles de l’État;0;21 266 000;0;24 095 000
Gestion du patrimoine immobilier de l'État;724;11;31;Dépenses de fonctionnement autres que celles de personnel;0;10 581 000;0;8 635 000
Gestion du patrimoine immobilier de l'État;724;11;51;Dépenses pour immobilisations corporelles de l’État;0;43 579 000;0;44 029 000
Gestion du patrimoine immobilier de l'État;724;11;63;Transferts aux collectivités territoriales;0;1 610 000;0;1 447 000
Gestion du patrimoine immobilier de l'État;724;11;72;Dotations en fonds propres;0;2 083 000;0;1 877 000
Gestion du patrimoine immobilier de l'État;724;12;31;Dépenses de fonctionnement autres que celles de personnel;0;8 709 000;0;7 706 000
Gestion du patrimoine immobilier de l'État;724;12;51;Dépenses pour immobilisations corporelles de l’État;0;1 271 000;0;911 000
Gestion du patrimoine immobilier de l'État;724;13;31;Dépenses de fonctionnement autres que celles de personnel;0;37 066 000;0;30 471 000
Gestion du patrimoine immobilier de l'État;724;13;51;Dépenses pour immobilisations corporelles de l’État;0;7 148 000;0;8 683 000
Gestion du patrimoine immobilier de l'État;724;14;31;Dépenses de fonctionnement autres que celles de personnel;0;11 046 000;0;8 825 000
Gestion du patrimoine immobilier de l'État;724;14;51;Dépenses pour immobilisations corporelles de l’État;0;34 980 000;0;37 623 000
Participation de la France au désendettement de la Grèce;795;1;64;Transferts aux autres collectivités;0;0;92 600 000;56 000 000
Participation de la France au désendettement de la Grèce;795;2;64;Transferts aux autres collectivités;233 000 000;183 000 000;233 000 000;183 000 000
Participation de la France au désendettement de la Grèce;796;1;73;Dépenses de participations financières;0;0;0;0
Participations financières de l'État;731;1;73;Dépenses de participations financières;2 248 000 000;6 390 000 000;2 248 000 000;6 390 000 000
Participations financières de l'État;731;3;73;Dépenses de participations financières;321 000 000;0;321 000 000;0
Participations financières de l'État;731;4;73;Dépenses de participations financières;10 000 000;10 000 000;10 000 000;10 000 000
Participations financières de l'État;731;5;31;Dépenses de fonctionnement autres que celles de personnel;100 000 000;100 000 000;100 000 000;100 000 000
Participations financières de l'État;731;6;31;Dépenses de fonctionnement autres que celles de personnel;0;0;0;0
Participations financières de l'État;731;6;73;Dépenses de participations financières;0;0;0;0
Participations financières de l'État;732;1;73;Dépenses de participations financières;2 000 000 000;0;2 000 000 000;0
Pensions;741;1;22;Cotisations et contributions sociales;43 181 300 000;633 000 000;43 181 300 000;633 000 000
Pensions;741;1;23;Prestations sociales et allocations diverses;0;43 066 000 000;0;43 066 000 000
Pensions;741;1;31;Dépenses de fonctionnement autres que celles de personnel;400 000;200 000;400 000;200 000
Pensions;741;1;61;Transferts aux ménages;0;200 000;0;200 000
Pensions;741;2;22;Cotisations et contributions sociales;9 972 000 000;339 200 000;9 972 000 000;339 200 000
Pensions;741;2;23;Prestations sociales et allocations diverses;0;9 647 000 000;0;9 647 000 000
Pensions;741;2;31;Dépenses de fonctionnement autres que celles de personnel;500 000;300 000;500 000;300 000
Pensions;741;3;22;Cotisations et contributions sociales;143 000 000;50 000;143 000 000;50 000
Pensions;741;3;23;Prestations sociales et allocations diverses;0;138 700 000;0;138 700 000
Pensions;741;3;31;Dépenses de fonctionnement autres que celles de personnel;100 000;50 000;100 000;50 000
Pensions;742;1;23;Prestations sociales et allocations diverses;1 850 900 000;1 821 000 000;1 850 900 000;1 821 000 000
Pensions;742;3;23;Prestations sociales et allocations diverses;1 252 000;2 455 000;1 252 000;2 455 000
Pensions;742;4;31;Dépenses de fonctionnement autres que celles de personnel;7 900 000;7 681 000;7 900 000;7 681 000
Pensions;742;5;23;Prestations sociales et allocations diverses;55 470 000;56 652 000;55 470 000;56 652 000
Pensions;742;5;31;Dépenses de fonctionnement autres que celles de personnel;670 000;663 000;670 000;663 000
Pensions;743;1;61;Transferts aux ménages;757 364 000;749 263 500;757 364 000;749 263 500
Pensions;743;2;31;Dépenses de fonctionnement autres que celles de personnel;200 000;200 000;200 000;200 000
Pensions;743;2;61;Transferts aux ménages;1 189 520 000;1 147 150 000;1 189 520 000;1 147 150 000
Pensions;743;3;23;Prestations sociales et allocations diverses;16 000 000;16 000 000;16 000 000;16 000 000
Pensions;743;4;61;Transferts aux ménages;15 300 000;15 070 000;15 300 000;15 070 000
Pensions;743;5;31;Dépenses de fonctionnement autres que celles de personnel;7 600;7 000;7 600;7 000
Pensions;743;5;61;Transferts aux ménages;48 626;46 281;48 626;46 281
Pensions;743;6;31;Dépenses de fonctionnement autres que celles de personnel;385 000;390 000;385 000;390 000
Pensions;743;6;61;Transferts aux ménages;12 053 000;12 480 000;12 053 000;12 480 000
Pensions;743;7;31;Dépenses de fonctionnement autres que celles de personnel;16 000;15 600;16 000;15 600
Pensions;743;7;61;Transferts aux ménages;264 000;234 400;264 000;234 400
Services nationaux de transport conventionnés de voyageurs;785;1;62;Transferts aux entreprises;216 200 000;257 000 000;216 200 000;257 000 000
Services nationaux de transport conventionnés de voyageurs;785;2;31;Dépenses de fonctionnement autres que celles de personnel;800 000;1 000 000;800 000;1 000 000
Services nationaux de transport conventionnés de voyageurs;786;1;62;Transferts aux entreprises;117 800 000;100 000 000;117 800 000;100 000 000
Services nationaux de transport conventionnés de voyageurs;786;2;31;Dépenses de fonctionnement autres que celles de personnel;200 000;0;200 000;0
Transition énergétique;764;1;62;Transferts aux entreprises;3 633 000 000;5 630 300 000;3 633 000 000;5 630 300 000
Transition énergétique;764;2;62;Transferts aux entreprises;0;0;0;0
Transition énergétique;764;3;62;Transferts aux entreprises;17 000 000;49 900 000;17 000 000;49 900 000
Transition énergétique;765;1;62;Transferts aux entreprises;194 000 000;1 228 000 000;194 000 000;1 228 000 000
Transition énergétique;765;2;62;Transferts aux entreprises;0;0;0;0
Transition énergétique;765;3;62;Transferts aux entreprises;530 000 000;75 000 000;530 000 000;75 000 000
