GESTION;2017;;;;;;;
TYPE BUDGET;Budget général;;;;;;;
;;;;; Données;;;
Administration générale et territoriale de l'État;216;9;23;Prestations sociales et allocations diverses;1 574 954;277 052;1 574 954;277 052
Administration générale et territoriale de l'État;216;10;31;Dépenses de fonctionnement autres que celles de personnel;0;100 000;0;100 000
Administration générale et territoriale de l'État;216;10;32;Subventions pour charges de service public;0;22 000 000;0;22 000 000
Administration générale et territoriale de l'État;216;10;63;Transferts aux collectivités territoriales;0;58 315 501;0;58 315 501
Administration générale et territoriale de l'État;232;1;64;Transferts aux autres collectivités;68 670 671;68 670 672;68 670 671;68 670 672
Administration générale et territoriale de l'État;232;2;21;Rémunérations dactivité;20 195 453;21 346 590;20 195 453;21 346 590
Administration générale et territoriale de l'État;232;2;22;Cotisations et contributions sociales;2 036 547;1 388 510;2 036 547;1 388 510
Administration générale et territoriale de l'État;232;2;31;Dépenses de fonctionnement autres que celles de personnel;774 213;172 627 040;0;171 237 040
Administration générale et territoriale de l'État;232;2;52;Dépenses pour immobilisations incorporelles de lÉtat;0;1 000 000;0;1 000 000
Administration générale et territoriale de l'État;232;2;63;Transferts aux collectivités territoriales;0;34 076 000;0;34 076 000
Administration générale et territoriale de l'État;232;3;21;Rémunérations dactivité;2 494 430;2 954 000;2 494 430;2 954 000
Administration générale et territoriale de l'État;232;3;22;Cotisations et contributions sociales;806 570;1 160 000;806 570;1 160 000
Administration générale et territoriale de l'État;232;3;23;Prestations sociales et allocations diverses;99 000;136 000;99 000;136 000
Administration générale et territoriale de l'État;232;3;31;Dépenses de fonctionnement autres que celles de personnel;1 345 049;5 400 000;2 500 000;2 800 000
Administration générale et territoriale de l'État;232;4;51;Dépenses pour immobilisations corporelles de lÉtat;660 000;660 000;199 262;660 000
Administration générale et territoriale de l'État;232;4;63;Transferts aux collectivités territoriales;1 276 037;1 276 037;1 276 037;1 276 037
Administration générale et territoriale de l'État;232;4;64;Transferts aux autres collectivités;921 900;845 000;921 900;845 000
Administration générale et territoriale de l'État;232;5;31;Dépenses de fonctionnement autres que celles de personnel;55 000;49 000;55 000;49 000
Administration générale et territoriale de l'État;232;5;52;Dépenses pour immobilisations incorporelles de lÉtat;0;40 000;0;40 000
Administration générale et territoriale de l'État;232;5;64;Transferts aux autres collectivités;33 800;0;33 800;0
Administration générale et territoriale de l'État;307;1;21;Rémunérations dactivité;94 997 952;99 117 899;94 997 952;99 117 899
Administration générale et territoriale de l'État;307;1;22;Cotisations et contributions sociales;62 811 613;65 133 100;62 811 613;65 133 100
Administration générale et territoriale de l'État;307;1;23;Prestations sociales et allocations diverses;1 211 649;1 227 919;1 211 649;1 227 919
Administration générale et territoriale de l'État;307;2;21;Rémunérations dactivité;383 520 449;405 509 424;383 520 449;405 509 424
Administration générale et territoriale de l'État;307;2;22;Cotisations et contributions sociales;252 477 647;265 434 903;252 477 647;265 434 903
Administration générale et territoriale de l'État;307;2;23;Prestations sociales et allocations diverses;4 925 683;5 041 862;4 925 683;5 041 862
Administration générale et territoriale de l'État;307;2;31;Dépenses de fonctionnement autres que celles de personnel;10 020 178;10 020 178;10 020 178;10 020 178
Administration générale et territoriale de l'État;307;3;21;Rémunérations dactivité;83 068 549;89 988 730;83 068 549;89 988 730
Administration générale et territoriale de l'État;307;3;22;Cotisations et contributions sociales;54 665 267;58 912 059;54 665 267;58 912 059
Administration générale et territoriale de l'État;307;3;23;Prestations sociales et allocations diverses;1 072 670;1 116 181;1 072 670;1 116 181
Administration générale et territoriale de l'État;307;4;21;Rémunérations dactivité;284 617 261;307 717 176;284 617 261;307 717 176
Administration générale et territoriale de l'État;307;4;22;Cotisations et contributions sociales;187 712 182;201 696 608;187 712 182;201 696 608
Administration générale et territoriale de l'État;307;4;23;Prestations sociales et allocations diverses;3 703 730;3 818 030;3 703 730;3 818 030
Administration générale et territoriale de l'État;307;4;31;Dépenses de fonctionnement autres que celles de personnel;8 661 442;9 017 854;8 521 708;8 765 717
Administration générale et territoriale de l'État;307;4;51;Dépenses pour immobilisations corporelles de lÉtat;3 071 200;3 075 115;3 071 200;3 075 115
Administration générale et territoriale de l'État;307;5;21;Rémunérations dactivité;29 093 372;4 301 148;29 093 372;4 301 148
Administration générale et territoriale de l'État;307;5;22;Cotisations et contributions sociales;18 466 769;2 566 763;18 466 769;2 566 763
Administration générale et territoriale de l'État;307;5;23;Prestations sociales et allocations diverses;359 406;41 615;359 406;41 615
Administration générale et territoriale de l'État;307;5;31;Dépenses de fonctionnement autres que celles de personnel;124 521 376;127 920 450;115 611 354;113 048 863
Administration générale et territoriale de l'État;307;5;51;Dépenses pour immobilisations corporelles de lÉtat;41 669 875;46 388 218;41 469 875;45 947 875
Administration générale et territoriale de l'État;307;5;52;Dépenses pour immobilisations incorporelles de lÉtat;400 000;0;400 000;0
Agriculture, alimentation, forêt et affaires rurales;149;21;31;Dépenses de fonctionnement autres que celles de personnel;239 200;233 000;239 200;233 000
Agriculture, alimentation, forêt et affaires rurales;149;21;62;Transferts aux entreprises;163 931 672;201 672 274;164 347 109;202 472 274
Agriculture, alimentation, forêt et affaires rurales;149;21;64;Transferts aux autres collectivités;2 194 726;2 444 726;2 194 726;2 444 726
Agriculture, alimentation, forêt et affaires rurales;149;22;62;Transferts aux entreprises;3 360 794;3 850 000;3 886 804;5 548 393
Agriculture, alimentation, forêt et affaires rurales;149;23;61;Transferts aux ménages;30 000 000;30 000 000;30 000 000;30 000 000
Agriculture, alimentation, forêt et affaires rurales;149;23;62;Transferts aux entreprises;136 357 978;130 500 000;62 652 701;95 294 839
Agriculture, alimentation, forêt et affaires rurales;149;24;31;Dépenses de fonctionnement autres que celles de personnel;300 000;40 000;300 000;40 000
Agriculture, alimentation, forêt et affaires rurales;149;24;62;Transferts aux entreprises;331 720 954;367 731 597;317 949 329;358 459 331
Agriculture, alimentation, forêt et affaires rurales;149;24;64;Transferts aux autres collectivités;21 297 603;22 020 828;21 297 603;22 020 828
Agriculture, alimentation, forêt et affaires rurales;149;25;64;Transferts aux autres collectivités;410 655 556;918 354 327;410 655 556;918 354 327
Agriculture, alimentation, forêt et affaires rurales;149;26;31;Dépenses de fonctionnement autres que celles de personnel;693 750;393 750;693 750;393 750
Agriculture, alimentation, forêt et affaires rurales;149;26;32;Subventions pour charges de service public;193 531 580;190 265 898;193 531 580;190 265 898
Agriculture, alimentation, forêt et affaires rurales;149;26;51;Dépenses pour immobilisations corporelles de lÉtat;9 611 271;9 581 356;10 611 271;10 581 356
Agriculture, alimentation, forêt et affaires rurales;149;26;62;Transferts aux entreprises;46 964 179;47 800 000;58 186 567;53 807 847
Agriculture, alimentation, forêt et affaires rurales;149;26;63;Transferts aux collectivités territoriales;16 636 299;16 437 053;17 641 646;17 535 997
Agriculture, alimentation, forêt et affaires rurales;149;26;64;Transferts aux autres collectivités;8 710 712;8 956 778;8 710 712;8 956 778
Agriculture, alimentation, forêt et affaires rurales;149;27;31;Dépenses de fonctionnement autres que celles de personnel;0;8 000 000;0;8 000 000
Agriculture, alimentation, forêt et affaires rurales;149;27;32;Subventions pour charges de service public;263 003 316;264 926 608;263 003 316;264 926 608
Agriculture, alimentation, forêt et affaires rurales;149;27;62;Transferts aux entreprises;295 480;295 480;295 480;295 480
Agriculture, alimentation, forêt et affaires rurales;149;27;72;Dotations en fonds propres;2 788 454;11 338 576;2 788 454;11 338 576
Agriculture, alimentation, forêt et affaires rurales;206;1;21;Rémunérations dactivité;0;0;0;0
Agriculture, alimentation, forêt et affaires rurales;206;1;22;Cotisations et contributions sociales;0;0;0;0
Agriculture, alimentation, forêt et affaires rurales;206;1;23;Prestations sociales et allocations diverses;0;0;0;0
Agriculture, alimentation, forêt et affaires rurales;206;1;31;Dépenses de fonctionnement autres que celles de personnel;4 895 100;11 111 000;4 795 100;11 011 000
Agriculture, alimentation, forêt et affaires rurales;206;1;32;Subventions pour charges de service public;890 000;881 000;890 000;881 000
Agriculture, alimentation, forêt et affaires rurales;206;1;62;Transferts aux entreprises;3 365 399;1 460 000;3 138 549;1 360 000
Agriculture, alimentation, forêt et affaires rurales;206;1;64;Transferts aux autres collectivités;12 060 870;12 270 000;11 894 413;12 270 000
Agriculture, alimentation, forêt et affaires rurales;206;2;31;Dépenses de fonctionnement autres que celles de personnel;60 091 848;65 212 633;59 104 062;63 685 000
Agriculture, alimentation, forêt et affaires rurales;206;2;32;Subventions pour charges de service public;3 200 000;3 000 000;3 200 000;2 500 000
Agriculture, alimentation, forêt et affaires rurales;206;2;62;Transferts aux entreprises;19 880 120;15 689 000;19 450 120;15 689 000
Agriculture, alimentation, forêt et affaires rurales;206;2;64;Transferts aux autres collectivités;3 204 536;8 850 000;3 204 536;8 850 000
Agriculture, alimentation, forêt et affaires rurales;206;3;31;Dépenses de fonctionnement autres que celles de personnel;8 708 412;9 406 000;8 709 463;9 404 000
Agriculture, alimentation, forêt et affaires rurales;206;3;32;Subventions pour charges de service public;3 655 019;4 009 000;3 455 019;4 009 000
Agriculture, alimentation, forêt et affaires rurales;206;3;62;Transferts aux entreprises;2 000 000;3 025 000;2 000 000;3 025 000
Agriculture, alimentation, forêt et affaires rurales;206;4;31;Dépenses de fonctionnement autres que celles de personnel;7 114 680;6 605 000;7 422 680;6 745 000
Agriculture, alimentation, forêt et affaires rurales;206;4;32;Subventions pour charges de service public;61 688 821;60 147 323;61 685 269;60 147 323
Agriculture, alimentation, forêt et affaires rurales;206;4;62;Transferts aux entreprises;1 318 940;1 417 000;1 318 940;1 417 000
Agriculture, alimentation, forêt et affaires rurales;206;4;63;Transferts aux collectivités territoriales;100 000;96 000;100 000;96 000
Agriculture, alimentation, forêt et affaires rurales;206;4;64;Transferts aux autres collectivités;900 000;800 000;900 000;800 000
Agriculture, alimentation, forêt et affaires rurales;206;5;31;Dépenses de fonctionnement autres que celles de personnel;0;0;0;0
Agriculture, alimentation, forêt et affaires rurales;206;5;32;Subventions pour charges de service public;3 670 549;4 300 000;4 158 431;3 900 000
Agriculture, alimentation, forêt et affaires rurales;206;5;64;Transferts aux autres collectivités;3 000;0;3 000;0
Agriculture, alimentation, forêt et affaires rurales;206;6;21;Rémunérations dactivité;177 821 800;183 972 806;177 821 800;183 972 806
Agriculture, alimentation, forêt et affaires rurales;206;6;22;Cotisations et contributions sociales;106 285 814;110 945 482;106 285 814;110 945 482
Agriculture, alimentation, forêt et affaires rurales;206;6;23;Prestations sociales et allocations diverses;1 418 136;1 418 136;1 418 136;1 418 136
Agriculture, alimentation, forêt et affaires rurales;206;6;31;Dépenses de fonctionnement autres que celles de personnel;915 648;800 000;915 588;800 000
Agriculture, alimentation, forêt et affaires rurales;206;8;31;Dépenses de fonctionnement autres que celles de personnel;700 000;575 000;700 000;575 000
Agriculture, alimentation, forêt et affaires rurales;206;8;64;Transferts aux autres collectivités;3 274 702;3 140 000;3 274 702;3 140 000
Agriculture, alimentation, forêt et affaires rurales;215;1;21;Rémunérations dactivité;106 827 767;107 626 390;106 827 767;107 626 390
Agriculture, alimentation, forêt et affaires rurales;215;1;22;Cotisations et contributions sociales;58 839 974;59 277 998;58 839 974;59 277 998
Agriculture, alimentation, forêt et affaires rurales;215;1;23;Prestations sociales et allocations diverses;917 352;1 032 068;917 352;1 032 068
Agriculture, alimentation, forêt et affaires rurales;215;1;31;Dépenses de fonctionnement autres que celles de personnel;30 993 897;37 879 211;36 079 899;36 813 147
Agriculture, alimentation, forêt et affaires rurales;215;1;32;Subventions pour charges de service public;0;1 025 000;0;1 025 000
Agriculture, alimentation, forêt et affaires rurales;215;1;51;Dépenses pour immobilisations corporelles de lÉtat;75 000;0;75 000;0
Agriculture, alimentation, forêt et affaires rurales;215;1;61;Transferts aux ménages;950 000;130 000;950 000;130 000
Agriculture, alimentation, forêt et affaires rurales;215;2;21;Rémunérations dactivité;9 786 004;9 626 621;9 786 004;9 626 621
Agriculture, alimentation, forêt et affaires rurales;215;2;22;Cotisations et contributions sociales;4 272 923;4 409 410;4 272 923;4 409 410
Agriculture, alimentation, forêt et affaires rurales;215;2;23;Prestations sociales et allocations diverses;91 073;169 855;91 073;169 855
Agriculture, alimentation, forêt et affaires rurales;215;2;31;Dépenses de fonctionnement autres que celles de personnel;3 815 170;4 051 664;3 815 170;4 051 664
Agriculture, alimentation, forêt et affaires rurales;215;3;21;Rémunérations dactivité;216 561 793;213 765 754;216 561 793;213 765 754
Agriculture, alimentation, forêt et affaires rurales;215;3;22;Cotisations et contributions sociales;134 810 209;129 152 506;134 810 209;129 152 506
Agriculture, alimentation, forêt et affaires rurales;215;3;23;Prestations sociales et allocations diverses;3 503 539;6 697 688;3 503 539;6 697 688
Agriculture, alimentation, forêt et affaires rurales;215;3;31;Dépenses de fonctionnement autres que celles de personnel;17 163 881;10 976 581;17 163 881;10 976 581
Agriculture, alimentation, forêt et affaires rurales;215;3;51;Dépenses pour immobilisations corporelles de lÉtat;900 000;200 000;900 000;200 000
Agriculture, alimentation, forêt et affaires rurales;215;4;21;Rémunérations dactivité;24 356 937;25 888 933;24 356 937;25 888 933
Agriculture, alimentation, forêt et affaires rurales;215;4;22;Cotisations et contributions sociales;13 968 692;14 548 460;13 968 692;14 548 460
Agriculture, alimentation, forêt et affaires rurales;215;4;23;Prestations sociales et allocations diverses;468 533;80 886;468 533;80 886
Agriculture, alimentation, forêt et affaires rurales;215;4;31;Dépenses de fonctionnement autres que celles de personnel;24 169 540;20 015 340;21 930 704;20 785 019
Agriculture, alimentation, forêt et affaires rurales;215;4;32;Subventions pour charges de service public;1 436 000;1 325 238;1 436 000;1 325 238
Agriculture, alimentation, forêt et affaires rurales;215;4;51;Dépenses pour immobilisations corporelles de lÉtat;2 000 000;5 443 521;3 500 000;4 773 521
Agriculture, alimentation, forêt et affaires rurales;215;4;52;Dépenses pour immobilisations incorporelles de lÉtat;1 600 000;0;1 600 000;0
Agriculture, alimentation, forêt et affaires rurales;215;4;61;Transferts aux ménages;0;26 916;0;26 916
Agriculture, alimentation, forêt et affaires rurales;215;4;63;Transferts aux collectivités territoriales;500 000;450 000;500 000;450 000
Aide publique au développement;110;1;31;Dépenses de fonctionnement autres que celles de personnel;0;0;0;0
Aide publique au développement;110;1;64;Transferts aux autres collectivités;30 240 000;11 260 139;90 160 192;90 600 555
Aide publique au développement;110;1;73;Dépenses de participations financières;46 000 000;1 441 000 000;507 708 247;496 019 357
Aide publique au développement;110;2;31;Dépenses de fonctionnement autres que celles de personnel;4 150 000;7 180 000;4 150 000;7 180 000
Aide publique au développement;110;2;64;Transferts aux autres collectivités;308 785 000;374 820 000;230 509 914;290 637 509
Aide publique au développement;110;2;73;Dépenses de participations financières;0;0;0;0
Aide publique au développement;110;3;32;Subventions pour charges de service public;0;0;0;0
Aide publique au développement;110;3;64;Transferts aux autres collectivités;0;0;42 883 516;37 554 325
Aide publique au développement;110;3;73;Dépenses de participations financières;0;330 250 218;62 567 100;65 965 256
Aide publique au développement;209;2;31;Dépenses de fonctionnement autres que celles de personnel;27 317 133;36 017 133;27 317 133;36 017 133
Aide publique au développement;209;2;61;Transferts aux ménages;8 196 571;8 196 571;8 196 571;8 196 571
Aide publique au développement;209;2;62;Transferts aux entreprises;9 516 650;22 204 088;9 516 650;22 204 088
Aide publique au développement;209;2;63;Transferts aux collectivités territoriales;9 253 672;9 253 672;9 253 672;9 253 672
Aide publique au développement;209;2;64;Transferts aux autres collectivités;546 311 575;522 805 238;516 136 235;492 629 898
Aide publique au développement;209;5;31;Dépenses de fonctionnement autres que celles de personnel;0;350 000;5 501 887;6 063 261
Aide publique au développement;209;5;64;Transferts aux autres collectivités;100 043 541;150 036 041;100 043 541;150 036 041
Aide publique au développement;209;7;64;Transferts aux autres collectivités;700 800 000;742 446 124;700 800 000;742 446 124
Aide publique au développement;209;8;21;Rémunérations dactivité;158 297 269;147 830 467;158 297 269;147 830 467
Aide publique au développement;209;8;22;Cotisations et contributions sociales;35 039 462;33 725 358;35 039 462;33 725 358
Aide publique au développement;209;8;23;Prestations sociales et allocations diverses;2 184 968;2 943 799;2 184 968;2 943 799
Aide publique au développement;209;9;64;Transferts aux autres collectivités;97 500;0;97 500;0
Anciens combattants, mémoire et liens avec la nation;158;1;21;Rémunérations dactivité;1 183 890;1 202 783;1 183 890;1 202 783
Anciens combattants, mémoire et liens avec la nation;158;1;22;Cotisations et contributions sociales;540 530;540 937;540 530;540 937
Anciens combattants, mémoire et liens avec la nation;158;1;23;Prestations sociales et allocations diverses;27 985;10 006;27 985;10 006
Anciens combattants, mémoire et liens avec la nation;158;1;31;Dépenses de fonctionnement autres que celles de personnel;493 520;473 586;791 770;473 586
Anciens combattants, mémoire et liens avec la nation;158;1;61;Transferts aux ménages;43 925 353;44 216 786;43 925 353;44 216 786
Anciens combattants, mémoire et liens avec la nation;158;2;31;Dépenses de fonctionnement autres que celles de personnel;290 080;270 834;290 080;270 834
Anciens combattants, mémoire et liens avec la nation;158;2;61;Transferts aux ménages;54 293 540;54 085 540;54 293 540;54 085 540
Anciens combattants, mémoire et liens avec la nation;167;1;31;Dépenses de fonctionnement autres que celles de personnel;15 069 200;15 473 766;15 269 200;15 680 000
Anciens combattants, mémoire et liens avec la nation;167;1;64;Transferts aux autres collectivités;30 000;30 000;30 000;30 000
Anciens combattants, mémoire et liens avec la nation;167;2;31;Dépenses de fonctionnement autres que celles de personnel;8 000 000;5 500 000;8 000 000;5 500 000
Anciens combattants, mémoire et liens avec la nation;167;2;63;Transferts aux collectivités territoriales;1 650 000;0;1 650 000;0
Anciens combattants, mémoire et liens avec la nation;167;2;64;Transferts aux autres collectivités;12 969 692;16 700 000;12 969 692;16 700 000
Anciens combattants, mémoire et liens avec la nation;169;1;61;Transferts aux ménages;1 946 320 000;1 895 850 000;1 946 320 000;1 895 850 000
Anciens combattants, mémoire et liens avec la nation;169;2;31;Dépenses de fonctionnement autres que celles de personnel;4 700 000;4 700 000;4 700 000;4 700 000
Anciens combattants, mémoire et liens avec la nation;169;2;61;Transferts aux ménages;148 350 000;140 000 000;148 350 000;140 000 000
Anciens combattants, mémoire et liens avec la nation;169;3;32;Subventions pour charges de service public;69 238 357;68 890 632;69 238 357;68 890 632
Anciens combattants, mémoire et liens avec la nation;169;3;61;Transferts aux ménages;287 210 000;280 010 000;287 210 000;280 010 000
Anciens combattants, mémoire et liens avec la nation;169;3;64;Transferts aux autres collectivités;673 000;260 000;673 000;260 000
Anciens combattants, mémoire et liens avec la nation;169;3;72;Dotations en fonds propres;0;5 000 000;0;0
Anciens combattants, mémoire et liens avec la nation;169;7;61;Transferts aux ménages;0;17 270 000;0;17 270 000
Anciens combattants, mémoire et liens avec la nation;169;7;64;Transferts aux autres collectivités;17 500 000;0;17 500 000;0
Conseil et contrôle de l'État;126;1;21;Rémunérations dactivité;15 863 665;16 474 105;15 863 665;16 474 105
Conseil et contrôle de l'État;126;1;22;Cotisations et contributions sociales;8 637 916;9 623 268;8 637 916;9 623 268
Conseil et contrôle de l'État;126;1;23;Prestations sociales et allocations diverses;80 000;88 498;80 000;88 498
Conseil et contrôle de l'État;126;1;31;Dépenses de fonctionnement autres que celles de personnel;1 599 164;1 599 164;1 599 164;1 599 164
